Iteration,HS,RTEA,RTHS
1,0.07438,0.06491,0.07859
2,0.07438,0.06491,0.06701
3,0.07438,0.06491,0.06701
4,0.07438,0.06491,0.06701
5,0.07438,0.05491,0.06701
6,0.07438,0.05491,0.06701
7,0.06403,0.05157,0.05403
8,0.06403,0.05157,0.05403
9,0.06403,0.05157,0.05403
10,0.06403,0.05157,0.05403
11,0.06403,0.05157,0.05403
12,0.06403,0.05157,0.05403
13,0.0528,0.05157,0.05403
14,0.0528,0.05157,0.05403
15,0.0528,0.05157,0.05403
16,0.0528,0.05157,0.05403
17,0.0528,0.05157,0.05403
18,0.0528,0.05157,0.05403
19,0.0528,0.05157,0.05403
20,0.0528,0.05157,0.05403
21,0.0528,0.05157,0.05403
22,0.0528,0.05157,0.05403
23,0.0528,0.05157,0.05403
24,0.0528,0.05157,0.05403
25,0.0528,0.05157,0.05403
26,0.0528,0.05157,0.05403
27,0.0528,0.05157,0.05403
28,0.0528,0.05157,0.05403
29,0.0528,0.05157,0.05403
30,0.0528,0.05157,0.05403
31,0.0528,0.05157,0.05403
32,0.0528,0.05157,0.05403
33,0.0528,0.05157,0.05403
34,0.0528,0.05157,0.05403
35,0.0528,0.05157,0.05403
36,0.0528,0.05157,0.05403
37,0.0528,0.05157,0.05403
38,0.0528,0.05157,0.05403
39,0.0528,0.04824,0.04824
40,0.0528,0.04824,0.04824
41,0.0528,0.04824,0.04824
42,0.0528,0.04824,0.04824
43,0.0528,0.04824,0.04824
44,0.0528,0.04824,0.04824
45,0.0528,0.04824,0.04824
46,0.0528,0.04824,0.04824
47,0.0528,0.04824,0.04824
48,0.0528,0.04824,0.04824
49,0.0528,0.04824,0.04824
50,0.0528,0.04824,0.04824
