Iteration,HS,RTEA,RTHS
1,0.06857,0.05214,0.04285
2,0.06857,0.05214,0.04285
3,0.06857,0.05214,0.03928
4,0.06857,0.05214,0.03928
5,0.06857,0.04571,0.03928
6,0.06571,0.04571,0.03928
7,0.06571,0.04571,0.03928
8,0.06571,0.04571,0.03928
9,0.06571,0.04571,0.03928
10,0.045714,0.04571,0.03928
11,0.045714,0.04571,0.03928
12,0.045714,0.04571,0.03928
13,0.045714,0.04571,0.03928
14,0.045714,0.04571,0.03928
15,0.045714,0.04571,0.03928
16,0.045714,0.04571,0.03928
17,0.045714,0.04571,0.03928
18,0.045714,0.04571,0.03928
19,0.045714,0.04571,0.03928
20,0.045714,0.04571,0.03928
21,0.045714,0.04571,0.03928
22,0.045714,0.04571,0.03928
23,0.045714,0.042857,0.03928
24,0.045714,0.042857,0.03928
25,0.045714,0.042857,0.03928
26,0.045714,0.042857,0.03928
27,0.045714,0.042857,0.03928
28,0.045714,0.042857,0.03928
29,0.045714,0.042857,0.03928
30,0.045714,0.042857,0.03928
31,0.045714,0.042857,0.03928
32,0.045714,0.042857,0.03928
33,0.045714,0.042857,0.03928
34,0.045714,0.042857,0.03928
35,0.045714,0.042857,0.03928
36,0.045714,0.042857,0.03928
37,0.045714,0.042857,0.03928
38,0.045714,0.042857,0.03928
39,0.045714,0.042857,0.03928
40,0.045714,0.042857,0.03928
41,0.045714,0.042857,0.03928
42,0.045714,0.042857,0.03928
43,0.045714,0.042857,0.03928
44,0.045714,0.042857,0.03928
45,0.045714,0.042857,0.03928
46,0.045714,0.042857,0.03928
47,0.045714,0.042857,0.03928
48,0.045714,0.042857,0.03928
49,0.045714,0.042857,0.03928
50,0.045714,0.042857,0.03928
