Iteration,HS,RTEA,RTHS
1,0.06012,0.06228,0.02284
2,0.06012,0.06228,0.02284
3,0.05603,0.06228,0.01659
4,0.05603,0.06228,0.01659
5,0.05603,0.06228,0.01659
6,0.05603,0.05387,0.01659
7,0.05603,0.05387,0.01659
8,0.05603,0.05387,0.01659
9,0.05603,0.05387,0.01659
10,0.05603,0.05387,0.01659
11,0.05603,0.05387,0.01659
12,0.05603,0.05387,0.01659
13,0.05603,0.05387,0.01659
14,0.05603,0.05387,0.01659
15,0.05603,0.05387,0.01659
16,0.05603,0.05387,0.01659
17,0.05603,0.05387,0.01659
18,0.05603,0.05387,0.01659
19,0.03944,0.05387,0.01659
20,0.03944,0.05387,0.01659
21,0.03944,0.05387,0.01659
22,0.03944,0.05387,0.01659
23,0.03944,0.05387,0.01659
24,0.03944,0.05387,0.01659
25,0.03944,0.05387,0.01659
26,0.03944,0.05387,0.01659
27,0.03944,0.05387,0.01659
28,0.03944,0.05387,0.01659
29,0.03944,0.05387,0.01659
30,0.03944,0.05387,0.01659
31,0.03944,0.05387,0.01659
32,0.03944,0.05387,0.01659
33,0.03944,0.05387,0.01659
34,0.03944,0.04762,0.01659
35,0.03944,0.04762,0.01659
36,0.03944,0.04762,0.01659
37,0.03944,0.04762,0.01659
38,0.03944,0.04762,0.01659
39,0.037284,0.04762,0.01659
40,0.037284,0.04762,0.01659
41,0.037284,0.04762,0.01659
42,0.037284,0.04762,0.01659
43,0.037284,0.04762,0.01659
44,0.037284,0.04762,0.01659
45,0.037284,0.04762,0.01659
46,0.037284,0.04762,0.01659
47,0.037284,0.04762,0.01659
48,0.037284,0.04762,0.01659
49,0.037284,0.04353,0.01659
50,0.037284,0.04353,0.01659
