Iteration,HS,RTEA,RTHS
1,0.28669,0.28669,0.28669
2,0.28669,0.28669,0.28669
3,0.28669,0.28669,0.28669
4,0.28669,0.28669,0.26984
5,0.28669,0.28669,0.26984
6,0.28669,0.28669,0.26984
7,0.28669,0.28669,0.26984
8,0.28669,0.28669,0.26984
9,0.28669,0.28669,0.26984
10,0.28669,0.28669,0.25315
11,0.28669,0.28669,0.25315
12,0.28669,0.28669,0.25315
13,0.28669,0.04615,0.25315
14,0.28669,0.04615,0.25315
15,0.28669,0.04615,0.20423
16,0.28669,0.04615,0.14703
17,0.28669,0.04615,0.04615
18,0.28669,0.04615,0.04615
19,0.28669,0.04615,0.04615
20,0.28669,0.04615,0.04615
21,0.28669,0.04615,0.04615
22,0.28669,0.04615,0.04615
23,0.28669,0.04615,0.04615
24,0.28669,0.04615,0.04615
25,0.28669,0.04615,0.04615
26,0.28669,0.04615,0.04615
27,0.28669,0.04615,0.04615
28,0.28669,0.04615,0.04615
29,0.28669,0.04615,0.04615
30,0.28669,0.04615,0.04615
31,0.28669,0.04615,0.04615
32,0.28669,0.04615,0.04615
33,0.28669,0.04615,0.04615
34,0.28669,0.04615,0.04615
35,0.28669,0.04615,0.04615
36,0.28669,0.04615,0.04615
37,0.28669,0.04615,0.04615
38,0.28669,0.04615,0.04615
39,0.28669,0.04615,0.04615
40,0.28669,0.04615,0.04615
41,0.28669,0.04615,0.04615
42,0.28669,0.04615,0.04615
43,0.28669,0.04615,0.04615
44,0.28669,0.04615,0.04615
45,0.28669,0.04615,0.04615
46,0.28669,0.04615,0.04615
47,0.28669,0.04615,0.04615
48,0.28669,0.04615,0.04615
49,0.28669,0.04615,0.04615
50,0.28669,0.04615,0.04615
