Iteration,HS,RTEA,RTHS
1,0.22369,0.22369,0.22369
2,0.22369,0.22369,0.22369
3,0.22369,0.22369,0.22369
4,0.22369,0.22369,0.22369
5,0.22369,0.22369,0.22369
6,0.22369,0.22369,0.22369
7,0.22369,0.22369,0.22369
8,0.22369,0.22369,0.22369
9,0.22369,0.22369,0.22369
10,0.22369,0.22369,0.22369
11,0.22369,0.22369,0.22369
12,0.22369,0.22369,0.22369
13,0.22369,0.22369,0.22369
14,0.22369,0.22369,0.22369
15,0.22369,0.22369,0.22369
16,0.22369,0.22369,0.22369
17,0.22369,0.22369,0.22369
18,0.22369,0.22369,0.22369
19,0.22369,0.22369,0.22369
20,0.22369,0.22369,0.22369
21,0.22369,0.22369,0.22369
22,0.22369,0.22369,0.22369
23,0.22369,0.22369,0.22369
24,0.22369,0.22369,0.22369
25,0.22369,0.22369,0.22369
26,0.22369,0.22369,0.22369
27,0.22369,0.22369,0.22369
28,0.22369,0.22369,0.22369
29,0.22369,0.22369,0.22369
30,0.22369,0.22369,0.22369
31,0.22369,0.22369,0.22369
32,0.22369,0.22369,0.22369
33,0.22369,0.22369,0.22369
34,0.22369,0.22369,0.22369
35,0.22369,0.22369,0.22369
36,0.22369,0.22369,0.22369
37,0.22369,0.22369,0.22369
38,0.22369,0.22369,0.22369
39,0.22369,0.22369,0.22369
40,0.22369,0.22369,0.22369
41,0.22369,0.22369,0.22369
42,0.22369,0.22369,0.22369
43,0.22369,0.22369,0.22369
44,0.22369,0.22369,0.22369
45,0.22369,0.22369,0.22369
46,0.22369,0.22369,0.22369
47,0.22369,0.22369,0.22369
48,0.22369,0.22369,0.22369
49,0.22369,0.22369,0.22369
50,0.22369,0.22369,0.22369
