Iteration,HS,RTEA,RTHS
1,0.33076,0.23846,0.25641
2,0.33076,0.21282,0.18846
3,0.33076,0.21282,0.17051
4,0.33076,0.21282,0.16282
5,0.33076,0.18846,0.15512
6,0.33076,0.18846,0.15384
7,0.33076,0.18846,0.15384
8,0.33076,0.18846,0.15384
9,0.33076,0.18846,0.15384
10,0.33076,0.18846,0.15384
11,0.33076,0.18846,0.15384
12,0.33076,0.18846,0.15384
13,0.33076,0.18846,0.15384
14,0.33076,0.18846,0.15384
15,0.33076,0.18846,0.15384
16,0.30512,0.18846,0.15384
17,0.28846,0.18846,0.15384
18,0.28846,0.18846,0.15384
19,0.28846,0.18846,0.15384
20,0.28846,0.18846,0.15384
21,0.28846,0.18846,0.15384
22,0.28846,0.18846,0.15384
23,0.28846,0.18846,0.15384
24,0.28846,0.18846,0.15384
25,0.28846,0.18846,0.15384
26,0.28846,0.18846,0.15384
27,0.28846,0.18846,0.15384
28,0.28846,0.18846,0.15384
29,0.28846,0.18846,0.15384
30,0.28846,0.18846,0.15384
31,0.28846,0.18846,0.15384
32,0.28846,0.18846,0.15384
33,0.28846,0.18846,0.15384
34,0.21538,0.18846,0.15384
35,0.21538,0.18846,0.15384
36,0.21538,0.17179,0.15384
37,0.21538,0.17179,0.15384
38,0.21538,0.17179,0.15384
39,0.21538,0.17179,0.15384
40,0.21538,0.17179,0.15384
41,0.21538,0.17179,0.15384
42,0.21538,0.17179,0.15384
43,0.21538,0.17179,0.15384
44,0.21538,0.17179,0.15384
45,0.21538,0.17179,0.15384
46,0.21538,0.17179,0.15384
47,0.21538,0.17179,0.15384
48,0.21538,0.17179,0.15384
49,0.21538,0.17179,0.15384
50,0.21538,0.16282,0.15384
