Iteration,HS,RTEA,RTHS
1,0.10655,0.10252,0.05621
2,0.10655,0.10252,0.05621
3,0.10655,0.10252,0.0305
4,0.10655,0.10252,0.0305
5,0.10655,0.06907,0.0305
6,0.10655,0.06907,0.0305
7,0.09075,0.06907,0.0305
8,0.09075,0.06907,0.0305
9,0.09075,0.06907,0.0305
10,0.09075,0.06907,0.0305
11,0.09075,0.06907,0.0305
12,0.09075,0.06907,0.0305
13,0.09075,0.06907,0.0305
14,0.09075,0.06907,0.0305
15,0.09075,0.06907,0.0305
16,0.09075,0.06907,0.0305
17,0.09075,0.06907,0.0305
18,0.09075,0.06907,0.0305
19,0.09075,0.06907,0.0305
20,0.09075,0.06907,0.0305
21,0.09075,0.06907,0.0305
22,0.09075,0.06907,0.0305
23,0.09075,0.06907,0.0305
24,0.09075,0.06907,0.0305
25,0.09075,0.06907,0.0305
26,0.09075,0.06907,0.0305
27,0.09075,0.06907,0.0305
28,0.09075,0.06907,0.0305
29,0.09075,0.06907,0.0305
30,0.09075,0.06907,0.0305
31,0.09075,0.06907,0.0305
32,0.09075,0.06907,0.0305
33,0.09075,0.06907,0.0305
34,0.09075,0.06907,0.0305
35,0.09075,0.06907,0.0305
36,0.09075,0.06907,0.0305
37,0.09075,0.06907,0.02756
38,0.09075,0.06907,0.02756
39,0.09075,0.06907,0.02756
40,0.09075,0.06907,0.02756
41,0.09075,0.06907,0.02756
42,0.09075,0.06907,0.02756
43,0.09075,0.06907,0.0147
44,0.09075,0.06907,0.0147
45,0.09075,0.06907,0.0147
46,0.09075,0.06907,0.0147
47,0.09075,0.06907,0.0147
48,0.09075,0.06907,0.0147
49,0.09075,0.06907,0.0147
50,0.09075,0.06907,0.0147
