Iteration,HS,RTEA,RTHS
1,0.21056,0.13873,0.08802
2,0.21056,0.10477,0.08247
3,0.21056,0.09773,0.06564
4,0.21056,0.09773,0.06428
5,0.21056,0.09663,0.06287
6,0.21056,0.08935,0.05449
7,0.21056,0.08935,0.05309
8,0.21056,0.08935,0.051721
9,0.21056,0.08935,0.04894
10,0.21056,0.07832,0.04894
11,0.21056,0.07832,0.04616
12,0.21056,0.07832,0.04616
13,0.21056,0.07832,0.04616
14,0.21056,0.07832,0.04616
15,0.21056,0.07832,0.04616
16,0.21056,0.07832,0.04616
17,0.21056,0.07832,0.04616
18,0.21056,0.07832,0.04616
19,0.21056,0.07832,0.04616
20,0.21056,0.07832,0.04616
21,0.21056,0.07832,0.04616
22,0.21056,0.07832,0.04616
23,0.21056,0.07832,0.04616
24,0.21056,0.07832,0.04616
25,0.21056,0.07832,0.04616
26,0.21056,0.07832,0.04616
27,0.21056,0.07832,0.04616
28,0.21056,0.07832,0.04616
29,0.21056,0.07832,0.04616
30,0.21056,0.07832,0.04616
31,0.21056,0.07832,0.04616
32,0.21056,0.07832,0.04616
33,0.21056,0.07832,0.04616
34,0.21056,0.07832,0.04616
35,0.21056,0.07554,0.04616
36,0.21056,0.07554,0.04616
37,0.21056,0.07554,0.04616
38,0.21056,0.07554,0.04616
39,0.21056,0.07554,0.04616
40,0.21056,0.07554,0.04616
41,0.21056,0.07554,0.04616
42,0.21056,0.07554,0.04616
43,0.20352,0.07554,0.04616
44,0.20352,0.07554,0.04616
45,0.20352,0.07554,0.04616
46,0.20352,0.07554,0.04616
47,0.20352,0.07554,0.04616
48,0.20352,0.07554,0.04616
49,0.20352,0.07554,0.04616
50,0.20352,0.07554,0.04616
