Iteration,HS,RTEA,RTHS
1,0.2133,0.17222,0.18333
2,0.2133,0.17222,0.18333
3,0.2133,0.17222,0.18333
4,0.16667,0.14,0.18333
5,0.15333,0.14,0.17778
6,0.15333,0.14,0.17778
7,0.15333,0.12333,0.17778
8,0.15333,0.12333,0.17778
9,0.15333,0.12333,0.15889
10,0.15333,0.12333,0.15889
11,0.15333,0.12333,0.15889
12,0.15333,0.10222,0.15333
13,0.15333,0.10222,0.15333
14,0.15333,0.10222,0.15333
15,0.15333,0.10222,0.15333
16,0.15333,0.10222,0.13444
17,0.15333,0.10222,0.13444
18,0.15333,0.10222,0.13444
19,0.15333,0.10222,0.13444
20,0.15333,0.10222,0.13444
21,0.15333,0.10222,0.13444
22,0.15333,0.10222,0.13444
23,0.15333,0.10222,0.13444
24,0.15333,0.10222,0.13444
25,0.15333,0.10222,0.10222
26,0.15333,0.10222,0.10222
27,0.15333,0.10222,0.10222
28,0.15333,0.09889,0.09889
29,0.15333,0.09889,0.09889
30,0.15333,0.09889,0.09889
31,0.15333,0.09889,0.09889
32,0.15333,0.09889,0.09889
33,0.15333,0.09889,0.09889
34,0.15333,0.09889,0.09889
35,0.15333,0.09889,0.09889
36,0.15333,0.09889,0.09889
37,0.15333,0.09889,0.09889
38,0.15333,0.09889,0.09889
39,0.15333,0.09889,0.09889
40,0.15333,0.09889,0.09889
41,0.15333,0.09889,0.09889
42,0.15333,0.09889,0.09889
43,0.15333,0.09889,0.09889
44,0.15333,0.09889,0.09889
45,0.15333,0.09889,0.09889
46,0.15333,0.09889,0.09889
47,0.15333,0.09889,0.09889
48,0.15333,0.09889,0.09889
49,0.15333,0.09889,0.09889
50,0.15333,0.09889,0.09889
