Iteration,HS,RTEA,RTHS
1,0.25576,0.23965,0.20553
2,0.25576,0.14703,0.17084
3,0.25576,0.07503,0.11553
4,0.25576,0.07503,0.05384
5,0.25576,0.07503,0.04615
6,0.25576,0.07503,0.04615
7,0.25576,0.07503,0.04615
8,0.25576,0.07503,0.04615
9,0.25576,0.07503,0.04615
10,0.25576,0.07503,0.04615
11,0.25576,0.07503,0.04615
12,0.25576,0.07503,0.04615
13,0.25576,0.07503,0.04615
14,0.25576,0.07503,0.04615
15,0.25576,0.07503,0.04615
16,0.25576,0.07503,0.04615
17,0.25576,0.07503,0.04615
18,0.25576,0.05384,0.04615
19,0.25576,0.05384,0.04615
20,0.25576,0.05384,0.04615
21,0.25576,0.05384,0.04615
22,0.25576,0.05384,0.04615
23,0.25576,0.05384,0.04615
24,0.25576,0.05384,0.04615
25,0.25576,0.05384,0.04615
26,0.25576,0.04615,0.04615
27,0.25576,0.04615,0.04615
28,0.25576,0.04615,0.04615
29,0.25576,0.04615,0.04615
30,0.25576,0.04615,0.04615
31,0.25576,0.04615,0.04615
32,0.25576,0.04615,0.04615
33,0.25576,0.04615,0.04615
34,0.25576,0.04615,0.04615
35,0.25576,0.04615,0.04615
36,0.25576,0.04615,0.04615
37,0.25576,0.04615,0.04615
38,0.25576,0.04615,0.04615
39,0.25576,0.04615,0.04615
40,0.25576,0.04615,0.04615
41,0.25576,0.04615,0.04615
42,0.25576,0.04615,0.04615
43,0.25576,0.04615,0.04615
44,0.25576,0.04615,0.04615
45,0.25576,0.04615,0.04615
46,0.25576,0.04615,0.04615
47,0.25576,0.04615,0.04615
48,0.25576,0.04615,0.04615
49,0.25576,0.04615,0.04615
50,0.25576,0.04615,0.04615
