Iteration,HS,RTEA,RTHS
1,0.1619,0.09928,0.15214
2,0.1619,0.09928,0.10928
3,0.1619,0.09928,0.10928
4,0.1619,0.09928,0.08452
5,0.1619,0.09928,0.08452
6,0.1619,0.09928,0.08452
7,0.1619,0.09928,0.08452
8,0.1619,0.09928,0.08452
9,0.1619,0.09928,0.08452
10,0.1619,0.09928,0.08452
11,0.1619,0.07785,0.07452
12,0.1619,0.07785,0.07452
13,0.13547,0.07785,0.07452
14,0.13547,0.07785,0.07452
15,0.13547,0.07785,0.07285
16,0.13547,0.07785,0.04976
17,0.13547,0.07785,0.04976
18,0.13547,0.07785,0.04976
19,0.13547,0.07785,0.04976
20,0.13547,0.07785,0.04976
21,0.13547,0.07785,0.04976
22,0.13547,0.07785,0.04976
23,0.13547,0.07785,0.04142
24,0.13547,0.07785,0.04142
25,0.13547,0.07785,0.04142
26,0.13547,0.07785,0.03333
27,0.13547,0.07785,0.03333
28,0.13547,0.07785,0.03333
29,0.13547,0.07785,0.03333
30,0.13547,0.07785,0.03167
31,0.13547,0.07785,0.03167
32,0.13547,0.07785,0.03167
33,0.13547,0.07785,0.03167
34,0.09928,0.07785,0.025
35,0.09928,0.07785,0.025
36,0.09928,0.07785,0.025
37,0.09928,0.07785,0.02333
38,0.09928,0.07785,0.02333
39,0.09928,0.07785,0.02333
40,0.09928,0.07785,0.02333
41,0.09928,0.07785,0.02333
42,0.09928,0.07785,0.02333
43,0.09928,0.07785,0.02333
44,0.09928,0.07785,0.02333
45,0.09928,0.07785,0.02333
46,0.09928,0.07785,0.02333
47,0.09928,0.07785,0.02333
48,0.09928,0.07785,0.02333
49,0.09928,0.07785,0.02333
50,0.09928,0.07785,0.02333
