Iteration,HS,RTEA,RTHS
1,0.18787,0.14545,0.19696
2,0.18787,0.11969,0.19545
3,0.18787,0.11969,0.18939
4,0.18787,0.11969,0.17727
5,0.18787,0.11969,0.17727
6,0.18787,0.11969,0.16818
7,0.18787,0.11969,0.16818
8,0.18787,0.11969,0.16818
9,0.18787,0.11969,0.1606
10,0.18787,0.11969,0.15606
11,0.18787,0.11969,0.15606
12,0.18787,0.11969,0.15606
13,0.18787,0.11969,0.15606
14,0.18787,0.11969,0.15606
15,0.18787,0.11969,0.15606
16,0.18787,0.11969,0.15606
17,0.18787,0.11969,0.15606
18,0.18787,0.11969,0.15606
19,0.18787,0.11969,0.15606
20,0.18787,0.11969,0.15606
21,0.18787,0.11969,0.15606
22,0.18787,0.11969,0.15606
23,0.18787,0.11969,0.15606
24,0.18787,0.11969,0.14848
25,0.18787,0.11969,0.14848
26,0.18787,0.11969,0.14848
27,0.18787,0.11969,0.14848
28,0.18787,0.11969,0.14848
29,0.18787,0.11969,0.14848
30,0.18787,0.11969,0.14848
31,0.18787,0.11969,0.14848
32,0.18787,0.11969,0.14848
33,0.18787,0.11969,0.11969
34,0.18787,0.11969,0.11969
35,0.18787,0.11969,0.11969
36,0.18787,0.11212,0.11212
37,0.18787,0.11212,0.11212
38,0.18787,0.11212,0.11212
39,0.18787,0.11212,0.11212
40,0.18787,0.11212,0.11212
41,0.18787,0.11212,0.11212
42,0.18787,0.11212,0.11212
43,0.18787,0.11212,0.11212
44,0.18787,0.11212,0.11212
45,0.18787,0.11212,0.11212
46,0.18787,0.11212,0.11212
47,0.18787,0.11212,0.11212
48,0.18787,0.11212,0.11212
49,0.18787,0.11212,0.11212
50,0.18787,0.11212,0.11212
