Iteration,HS,RTEA,RTHS
1,0.32517,0.27882,0.26128
2,0.32517,0.22899,0.23368
3,0.32517,0.22899,0.23368
4,0.32517,0.22899,0.23368
5,0.32517,0.22899,0.23368
6,0.32517,0.22899,0.23368
7,0.32517,0.22899,0.23368
8,0.32517,0.22899,0.23368
9,0.32517,0.22899,0.23368
10,0.32517,0.22899,0.23368
11,0.32517,0.22899,0.23368
12,0.32517,0.22899,0.23368
13,0.32517,0.22899,0.23368
14,0.32517,0.22899,0.23368
15,0.32517,0.22899,0.23368
16,0.32517,0.22899,0.23368
17,0.32517,0.22899,0.2289
18,0.32517,0.22899,0.2289
19,0.32517,0.22899,0.2289
20,0.32517,0.22899,0.2289
21,0.32517,0.22899,0.2289
22,0.32517,0.22899,0.2289
23,0.32517,0.22899,0.2289
24,0.32517,0.22899,0.2289
25,0.32517,0.22899,0.2289
26,0.32517,0.22899,0.2289
27,0.32517,0.22899,0.2289
28,0.32517,0.22899,0.2289
29,0.32517,0.22899,0.2289
30,0.32517,0.22899,0.2289
31,0.32517,0.22899,0.2289
32,0.32517,0.22899,0.2289
33,0.32517,0.22899,0.2289
34,0.32517,0.22899,0.2289
35,0.32517,0.22899,0.2289
36,0.32517,0.22899,0.2289
37,0.32517,0.22899,0.2289
38,0.32517,0.22899,0.2289
39,0.32517,0.22899,0.2289
40,0.32517,0.22899,0.2289
41,0.32517,0.22899,0.2289
42,0.32517,0.22899,0.2289
43,0.32517,0.22899,0.2289
44,0.32517,0.22899,0.2289
45,0.32517,0.22899,0.2289
46,0.32517,0.22899,0.2289
47,0.32517,0.22899,0.2289
48,0.32517,0.22899,0.2289
49,0.32517,0.22899,0.2289
50,0.32517,0.22899,0.2289
