Iteration,HS,RTEA,RTHS
1,0.06375,0.06125,0.03125
2,0.06375,0.06125,0.025
3,0.06375,0.06125,0.01875
4,0.06375,0.06125,0.01875
5,0.06375,0.0525,0.0125
6,0.04625,0.0525,0.0125
7,0.04625,0.0525,0.0125
8,0.04625,0.0525,0.0125
9,0.04625,0.0525,0.0125
10,0.04625,0.0525,0.0125
11,0.04625,0.0525,0.0125
12,0.04625,0.0525,0.0125
13,0.04625,0.0525,0.0125
14,0.04625,0.0525,0.0125
15,0.04625,0.0525,0.0125
16,0.04625,0.0525,0.0125
17,0.04625,0.0525,0.0125
18,0.04625,0.0525,0.0125
19,0.04625,0.0525,0.0125
20,0.04625,0.0525,0.0125
21,0.04,0.0525,0.0125
22,0.04,0.0525,0.0125
23,0.04,0.0525,0.0125
24,0.04,0.0525,0.0125
25,0.04,0.04875,0.0125
26,0.04,0.04875,0.0125
27,0.04,0.04875,0.0125
28,0.04,0.04875,0.0125
29,0.04,0.04875,0.0125
30,0.04,0.04875,0.0125
31,0.04,0.04875,0.0125
32,0.04,0.04875,0.0125
33,0.04,0.04875,0.0125
34,0.04,0.04875,0.0125
35,0.04,0.04875,0.0125
36,0.04,0.04875,0.0125
37,0.04,0.04875,0.0125
38,0.04,0.04875,0.0125
39,0.04,0.04875,0.0125
40,0.04,0.04875,0.0125
41,0.04,0.04875,0.0125
42,0.04,0.04875,0.0125
43,0.04,0.04875,0.0125
44,0.04,0.04875,0.0125
45,0.04,0.04875,0.0125
46,0.04,0.04875,0.0125
47,0.04,0.04875,0.0125
48,0.04,0.04875,0.0125
49,0.04,0.04875,0.0125
50,0.04,0.04875,0.0125
