Iteration,HS,RTEA,RTHS
1,0.2396,0.2569,0.235
2,0.2396,0.2379,0.2056
3,0.2396,0.2348,0.2049
4,0.2396,0.2348,0.2038
5,0.2396,0.2143,0.1949
6,0.2396,0.2143,0.1869
7,0.2396,0.2143,0.1848
8,0.2396,0.2143,0.1848
9,0.2396,0.2143,0.1774
10,0.2396,0.2143,0.177
11,0.2396,0.2143,0.1756
12,0.2396,0.2143,0.1756
13,0.2396,0.2143,0.1684
14,0.2353,0.2143,0.1684
15,0.2353,0.2143,0.1684
16,0.2353,0.2143,0.1684
17,0.2353,0.2115,0.1684
18,0.2353,0.2115,0.1684
19,0.2353,0.2101,0.1684
20,0.2353,0.2101,0.1684
21,0.2353,0.2101,0.1684
22,0.2353,0.2101,0.1684
23,0.2353,0.2101,0.1684
24,0.2353,0.2101,0.1684
25,0.2353,0.2101,0.1684
26,0.2353,0.2101,0.1684
27,0.2353,0.2101,0.1684
28,0.2353,0.2101,0.1684
29,0.2353,0.2101,0.1684
30,0.2353,0.2018,0.1684
31,0.2353,0.2018,0.1684
32,0.2353,0.2018,0.1684
33,0.2353,0.2018,0.1684
34,0.2353,0.2018,0.1684
35,0.2353,0.2018,0.1684
36,0.2353,0.2018,0.1684
37,0.2353,0.2018,0.1684
38,0.2353,0.2018,0.1684
39,0.2353,0.2018,0.1684
40,0.2353,0.2018,0.1684
41,0.2353,0.2018,0.1684
42,0.2353,0.2018,0.1684
43,0.2353,0.2018,0.1684
44,0.2353,0.2018,0.1684
45,0.2353,0.2018,0.1684
46,0.2353,0.2018,0.1684
47,0.2285,0.2018,0.1684
48,0.2285,0.2018,0.1684
49,0.2285,0.2018,0.1684
50,0.2285,0.2018,0.1684
