Iteration,HS,RTEA,RTHS
1,0.13076,0.04807,0.07307
2,0.13076,0.04807,0.07115
3,0.13076,0.04807,0.05576
4,0.13076,0.04807,0.04807
5,0.13076,0.04807,0.04807
6,0.13076,0.04807,0.04807
7,0.13076,0.04807,0.04807
8,0.13076,0.04807,0.04807
9,0.13076,0.04807,0.04807
10,0.13076,0.04807,0.04807
11,0.13076,0.04807,0.04807
12,0.13076,0.04807,0.04807
13,0.13076,0.04807,0.04807
14,0.13076,0.04807,0.04807
15,0.13076,0.04807,0.04807
16,0.13076,0.04807,0.04807
17,0.13076,0.04807,0.04807
18,0.13076,0.04807,0.04807
19,0.13076,0.04807,0.04807
20,0.13076,0.04807,0.04807
21,0.13076,0.04807,0.04807
22,0.12307,0.04807,0.04807
23,0.12307,0.04807,0.04807
24,0.12307,0.04807,0.04807
25,0.12307,0.04807,0.04807
26,0.12307,0.04807,0.04807
27,0.12307,0.04807,0.04807
28,0.12307,0.04807,0.04807
29,0.12307,0.04807,0.04807
30,0.12307,0.04807,0.04807
31,0.12307,0.04807,0.04807
32,0.12307,0.04807,0.04807
33,0.12307,0.04807,0.04807
34,0.12307,0.04807,0.04807
35,0.12307,0.04807,0.04807
36,0.12307,0.04807,0.04807
37,0.12307,0.04807,0.04807
38,0.12307,0.04807,0.04807
39,0.12307,0.04807,0.04807
40,0.12307,0.04807,0.04807
41,0.12307,0.04807,0.04807
42,0.12307,0.04807,0.04807
43,0.12307,0.04807,0.04807
44,0.12307,0.04807,0.04807
45,0.12307,0.04807,0.04807
46,0.12307,0.04807,0.04807
47,0.12307,0.04807,0.04807
48,0.12307,0.04807,0.04807
49,0.12307,0.04807,0.04807
50,0.12307,0.04807,0.04807
