Iteration,HS,RTEA,RTHS
1,0.17875,0.13375,0.08875
2,0.17875,0.1275,0.08875
3,0.17875,0.10125,0.08875
4,0.17875,0.095,0.08875
5,0.17875,0.095,0.08875
6,0.17875,0.095,0.08875
7,0.17875,0.095,0.08875
8,0.17875,0.095,0.0825
9,0.17875,0.095,0.0825
10,0.17875,0.095,0.0825
11,0.17875,0.095,0.0825
12,0.17875,0.0825,0.0825
13,0.17875,0.0825,0.0825
14,0.17875,0.0825,0.0825
15,0.16625,0.0825,0.0825
16,0.16625,0.0825,0.0825
17,0.16625,0.0825,0.0825
18,0.16625,0.0825,0.0825
19,0.16625,0.0825,0.0825
20,0.16625,0.0825,0.0825
21,0.16625,0.0825,0.0825
22,0.16625,0.0825,0.0825
23,0.16625,0.0825,0.0825
24,0.16625,0.0825,0.0825
25,0.16625,0.0825,0.0825
26,0.13375,0.0825,0.0825
27,0.13375,0.0825,0.0825
28,0.13375,0.0825,0.0825
29,0.13375,0.0825,0.0825
30,0.13375,0.0825,0.0825
31,0.13375,0.0825,0.0825
32,0.13375,0.0825,0.0825
33,0.13375,0.0825,0.0825
34,0.13375,0.0825,0.0825
35,0.13375,0.0825,0.0825
36,0.13375,0.0825,0.0825
37,0.13375,0.0825,0.0825
38,0.13375,0.0825,0.0825
39,0.13375,0.0825,0.0825
40,0.13375,0.0825,0.0825
41,0.13375,0.0825,0.0825
42,0.13375,0.0825,0.0825
43,0.13375,0.0825,0.0825
44,0.13375,0.0825,0.0825
45,0.13375,0.0825,0.0825
46,0.1275,0.0825,0.0825
47,0.0825,0.0825,0.0825
48,0.0825,0.0825,0.0825
49,0.0825,0.0825,0.0825
50,0.0825,0.0825,0.0825
