Iteration,HS,RTEA,RTHS
1,0.14707,0.08984,0.14153
2,0.14707,0.08984,0.14092
3,0.14707,0.08984,0.08184
4,0.14707,0.08984,0.08184
5,0.14707,0.08984,0.08153
6,0.14153,0.08984,0.77846
7,0.14153,0.08676,0.76923
8,0.14153,0.08676,0.76923
9,0.14153,0.08676,0.76923
10,0.14153,0.08676,0.76923
11,0.14153,0.08676,0.76307
12,0.14153,0.08676,0.07569
13,0.14153,0.08676,0.07476
14,0.14153,0.08676,0.07476
15,0.14153,0.08676,0.07353
16,0.14153,0.08676,0.07353
17,0.14153,0.08676,0.07353
18,0.14153,0.08676,0.07292
19,0.14153,0.08676,0.07169
20,0.14153,0.08676,0.07169
21,0.14153,0.08676,0.07138
22,0.14153,0.08676,0.07046
23,0.14153,0.08676,0.07046
24,0.14153,0.08676,0.09684
25,0.14153,0.08676,0.06953
26,0.08492,0.08676,0.06923
27,0.08492,0.08676,0.06923
28,0.08492,0.08676,0.06923
29,0.08492,0.08676,0.06923
30,0.08492,0.08676,0.06923
31,0.08492,0.08676,0.06923
32,0.08492,0.08676,0.06923
33,0.08492,0.08676,0.06923
34,0.08492,0.08676,0.06923
35,0.08492,0.08676,0.06923
36,0.08492,0.08676,0.06923
37,0.08492,0.08676,0.06923
38,0.08492,0.08676,0.06923
39,0.08492,0.08676,0.06923
40,0.08492,0.08523,0.06923
41,0.08492,0.08523,0.06923
42,0.08492,0.08523,0.06923
43,0.08492,0.08523,0.06923
44,0.08492,0.08523,0.06923
45,0.08492,0.08523,0.06923
46,0.084,0.08523,0.06923
47,0.084,0.08523,0.06923
48,0.084,0.08523,0.06923
49,0.084,0.08523,0.06923
50,0.084,0.08523,0.06923
